product_id,product_name,main_category,rating,rating_count,m_value,category_mean_rating,is_suspicious,bayesian_rating,rating_gap,target_rule
B08WRBG3XW,"boAt Type C A325 Tangle-free, Sturdy Type C Cable with 3A Rapid Charging & 480mbps Data Transmission(Black)",Accessories&Peripherals,4.1,13045.0,1313.0,4.145,False,4.1,0.0,reliable: keep original rating
B08DPLCM6T,LG 80 cm (32 inches) HD Ready Smart LED TV 32LM563BPTC (Dark Iron Gray),"HomeTheater,TV&Video",4.3,11976.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B09C6HXFC1,"Duracell USB Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Accessories&Peripherals,4.5,815.0,1313.0,4.145,True,4.281,0.219,suspicious: apply Bayesian formula
B085194JFL,"tizum HDMI to VGA Adapter Cable 1080P for Projector, Computer, Laptop, TV, Projectors & TV","HomeTheater,TV&Video",3.7,10962.0,404.8,4.0712,False,3.7,0.0,reliable: keep original rating
B09F6S8BT6,Samsung 80 cm (32 Inches) Wondertainment Series HD Ready LED Smart TV UA32T4340BKXXL (Glossy Black),"HomeTheater,TV&Video",4.3,16299.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B09NHVCHS9,Flix Micro Usb Cable For Smartphone (Black),Accessories&Peripherals,4.0,9378.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B0B1YVCJ2Y,Acer 80 cm (32 inches) I Series HD Ready Android Smart LED TV AR32AR2841HDFL (Black),"HomeTheater,TV&Video",4.3,4703.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B01M4GGIVU,Tizum High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (1.5 Meter/ 5 Feet),"HomeTheater,TV&Video",4.2,12153.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B08B42LWKN,OnePlus 80 cm (32 inches) Y Series HD Ready LED Smart Android TV 32Y1 (Black),"HomeTheater,TV&Video",4.2,34899.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B094JNXNPV,"Ambrane Unbreakable 3 in 1 Fast Charging Braided Multipurpose Cable for Speaker with 2.1 A Speed - 1.25 meter, Black",Accessories&Peripherals,4.0,2766.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B09W5XR9RT,"Duracell USB C To Lightning Apple Certified (Mfi) Braided Sync & Charge Cable For Iphone, Ipad And Ipod. Fast Charging Lightning Cable, 3.9 Feet (1.2M) - Black",Accessories&Peripherals,4.4,184.0,1313.0,4.145,True,4.1763,0.2237,suspicious: apply Bayesian formula
B077Z65HSD,"boAt A400 USB Type-C to USB-A 2.0 Male Data Cable, 2 Meter (Black)",Accessories&Peripherals,4.3,20850.0,1313.0,4.145,False,4.3,0.0,reliable: keep original rating
B00NH11PEY,"AmazonBasics USB 2.0 - A-Male to A-Female Extension Cable for Personal Computer, Printer (Black, 9.8 Feet/3 Meters)",Accessories&Peripherals,4.5,74976.0,1313.0,4.145,False,4.5,0.0,reliable: keep original rating
B09CMM3VGK,"Ambrane 60W / 3A Type C Fast Charging Unbreakable 1.5m L Shaped Braided Cable, PD Technology, 480Mbps Data Transfer for Smartphones, Tablet, Laptops & other type c devices (ABLC10, Black)",Accessories&Peripherals,4.0,1934.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B08QSC1XY8,"Zoul USB C 60W Fast Charging 3A 6ft/2M Long Type C Nylon Braided Data Cable Quick Charger Cable QC 3.0 for Samsung Galaxy M31S M30 S10 S9 S20 Plus, Note 10 9 8, A20e A40 A50 A70 (2M, Grey)",Accessories&Peripherals,4.3,974.0,1313.0,4.145,True,4.211,0.089,suspicious: apply Bayesian formula
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Accessories&Peripherals,4.3,355.0,1313.0,4.145,True,4.178,0.122,suspicious: apply Bayesian formula
B0B4HJNPV4,"pTron Solero T351 3.5Amps Fast Charging Type-C to Type-C PD Data & Charging USB Cable, Made in India, 480Mbps Data Sync, Durable 1 Meter Long Cable for Type-C Smartphones, Tablets & Laptops (Black)",Accessories&Peripherals,3.9,1075.0,1313.0,4.145,True,4.0347,-0.1347,suspicious: apply Bayesian formula
B08Y1SJVV5,"pTron Solero MB301 3A Micro USB Data & Charging Cable, Made in India, 480Mbps Data Sync, Strong & Durable 1.5-Meter Nylon Braided USB Cable for Micro USB Devices - (Black)",Accessories&Peripherals,3.9,24871.0,1313.0,4.145,False,3.9,0.0,reliable: keep original rating
B07XLCFSSN,"Amazonbasics Nylon Braided Usb-C To Lightning Cable, Fast Charging Mfi Certified Smartphone, Iphone Charger (6-Foot, Dark Grey)",Accessories&Peripherals,4.4,13552.0,1313.0,4.145,False,4.4,0.0,reliable: keep original rating
B09RZS1NQT,"Sounce 65W OnePlus Dash Warp Charge Cable, 6.5A Type-C to USB C PD Data Sync Fast Charging Cable Compatible with One Plus 8T/ 9/ 9R/ 9 pro/ 9RT/ 10R/ Nord & for All Type C Devices – Red, 1 Meter",Accessories&Peripherals,4.0,576.0,1313.0,4.145,True,4.1008,-0.1008,suspicious: apply Bayesian formula
B0B3MMYHYW,OnePlus 126 cm (50 inches) Y Series 4K Ultra HD Smart Android LED TV 50Y1S Pro (Black),"HomeTheater,TV&Video",4.2,7298.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B09C6HWG18,"Duracell Type C To Type C 5A (100W) Braided Sync & Fast Charging Cable, 3.9 Feet (1.2M). USB C to C Cable, Supports PD & QC 3.0 Charging, 5 GBPS Data Transmission – Black",Accessories&Peripherals,4.2,462.0,1313.0,4.145,True,4.1593,0.0407,suspicious: apply Bayesian formula
B00NH11KIK,"AmazonBasics USB 2.0 Cable - A-Male to B-Male - for Personal Computer, Printer- 6 Feet (1.8 Meters), Black",Accessories&Peripherals,4.5,107687.0,1313.0,4.145,False,4.5,0.0,reliable: keep original rating
B09JPC82QC,Mi 108 cm (43 inches) Full HD Android LED TV 4C | L43M6-INC (Black),"HomeTheater,TV&Video",4.3,27151.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B07JW1Y6XV,"Wayona Nylon Braided 3A Lightning to USB A Syncing and Fast Charging Data Cable for iPhone, Ipad (3 FT Pack of 1, Black)",Accessories&Peripherals,4.2,24269.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B07KRCW6LZ,"TP-Link Nano AC600 USB Wi-Fi Adapter(Archer T2U Nano)- 2.4G/5G Dual Band Wireless Network Adapter for PC Desktop Laptop, Mini Travel Size, Supports Windows 11,10, 8.1, 8, 7, XP/Mac OS 10.9-10.15",NetworkingDevices,4.3,12093.0,10822.0,4.1633,False,4.3,0.0,reliable: keep original rating
B09NJN8L25,"FLiX (Beetel USB to Micro USB PVC Data Sync & 2A Fast Charging Cable, Made in India, 480Mbps Data Sync, Solid Cable, 1 Meter Long USB Cable for Micro USB Devices (White)(XCD-M11)",Accessories&Peripherals,4.0,9378.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B07XJYYH7L,"Wecool Nylon Braided Multifunction Fast Charging Cable For Android Smartphone, Ios And Type C Usb Devices, 3 In 1 Charging Cable, 3A, (3 Feet) (Black)",Accessories&Peripherals,3.3,9792.0,1313.0,4.145,False,3.3,0.0,reliable: keep original rating
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),NetworkingDevices,4.1,8131.0,10822.0,4.1633,True,4.1361,-0.0361,suspicious: apply Bayesian formula
B014I8SSD0,"Amazon Basics High-Speed HDMI Cable, 6 Feet - Supports Ethernet, 3D, 4K video,Black","HomeTheater,TV&Video",4.4,426973.0,404.8,4.0712,False,4.4,0.0,reliable: keep original rating
B09L8DSSFH,7SEVEN® Compatible for Samsung Smart 4K Ultra HD TV Monitor Remote Control Replacement of Original Samsung TV Remote for LED OLED UHD QLED and Suitable for 6 7 8 Series Samsung TV with Hot Keys BN59-01259E,"HomeTheater,TV&Video",3.6,493.0,404.8,4.0712,False,3.6,0.0,reliable: keep original rating
B07232M876,"Amazonbasics Micro Usb Fast Charging Cable For Android Smartphone,Personal Computer,Printer With Gold Plated Connectors (6 Feet, Black)",Accessories&Peripherals,4.2,92595.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B07P681N66,"TP-Link AC600 600 Mbps WiFi Wireless Network USB Adapter for Desktop PC with 2.4GHz/5GHz High Gain Dual Band 5dBi Antenna Wi-Fi, Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.15 and earlier (Archer T2U Plus)",NetworkingDevices,4.4,24780.0,10822.0,4.1633,False,4.4,0.0,reliable: keep original rating
B0711PVX6Z,"AmazonBasics Micro USB Fast Charging Cable for Android Phones with Gold Plated Connectors (3 Feet, Black)",Accessories&Peripherals,4.2,92595.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B082T6V3DT,"AmazonBasics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (6-Ft, Rose Gold)",Accessories&Peripherals,4.3,8188.0,1313.0,4.145,False,4.3,0.0,reliable: keep original rating
B07MKFNHKG,VW 80 cm (32 inches) Frameless Series HD Ready LED TV VW32A (Black),"HomeTheater,TV&Video",4.2,4003.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B0BFWGBX61,"Ambrane Unbreakable 3A Fast Charging Braided Type C Cable    1.5 Meter (RCT15, Blue) Supports QC 2.0/3.0 Charging",Accessories&Peripherals,4.1,314.0,1313.0,4.145,True,4.1363,-0.0363,suspicious: apply Bayesian formula
B01N90RZ4M,Tata Sky Universal Remote,"HomeTheater,TV&Video",3.7,2960.0,404.8,4.0712,False,3.7,0.0,reliable: keep original rating
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",NetworkingDevices,4.2,179691.0,10822.0,4.1633,False,4.2,0.0,reliable: keep original rating
B09Q5SWVBJ,OnePlus 80 cm (32 inches) Y Series HD Ready Smart Android LED TV 32 Y1S (Black),"HomeTheater,TV&Video",4.2,34899.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B0B4DT8MKT,"Wecool Unbreakable 3 in 1 Charging Cable with 3A Speed, Fast Charging Multi Purpose Cable 1.25 Mtr Long, Type C cable, Micro Usb Cable and Cable for iPhone, White",Accessories&Peripherals,4.2,656.0,1313.0,4.145,True,4.1633,0.0367,suspicious: apply Bayesian formula
B08CDKQ8T6,"Portronics Konnect L 1.2Mtr, Fast Charging 3A Micro USB Cable with Charge & Sync Function (Grey)",Accessories&Peripherals,4.3,7064.0,1313.0,4.145,False,4.3,0.0,reliable: keep original rating
B07B275VN9,"Airtel DigitalTV DTH Television, Setup Box Remote Compatible for SD and HD Recording (Black)","HomeTheater,TV&Video",3.7,2201.0,404.8,4.0712,False,3.7,0.0,reliable: keep original rating
B0B15CPR37,Samsung 108 cm (43 inches) Crystal 4K Neo Series Ultra HD Smart LED TV UA43AUE65AKXXL (Black),"HomeTheater,TV&Video",4.3,7109.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B0994GFWBH,Lapster 1.5 mtr USB 2.0 Type A Male to USB A Male Cable for computer and laptop,Accessories&Peripherals,4.0,1313.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B01GGKZ0V6,AmazonBasics USB Type-C to USB Type-C 2.0 Cable - 3 Feet Laptop (0.9 Meters) - White,Accessories&Peripherals,4.2,29746.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B09F9YQQ7B,Redmi 80 cm (32 inches) Android 11 Series HD Ready Smart LED TV | L32M6-RA/L32M7-RA (Black),"HomeTheater,TV&Video",4.2,45238.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B014I8SX4Y,"Amazon Basics High-Speed HDMI Cable, 6 Feet (2-Pack),Black","HomeTheater,TV&Video",4.4,426973.0,404.8,4.0712,False,4.4,0.0,reliable: keep original rating
B09Q8HMKZX,"Portronics Konnect L 20W PD Quick Charge Type-C to 8-Pin USB Mobile Charging Cable, 1.2M, Tangle Resistant, Fast Data Sync(Grey)",Accessories&Peripherals,4.1,450.0,1313.0,4.145,True,4.1335,-0.0335,suspicious: apply Bayesian formula
B0B9XN9S3W,Acer 80 cm (32 inches) N Series HD Ready TV AR32NSV53HD (Black),"HomeTheater,TV&Video",4.3,457.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B07966M8XH,"Model-P4 6 Way Swivel Tilt Wall Mount 32-55-inch Full Motion Cantilever for LED,LCD and Plasma TV's","HomeTheater,TV&Video",4.2,2727.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B01GGKYKQM,"Amazon Basics USB Type-C to USB-A 2.0 Male Fast Charging Cable for Laptop - 3 Feet (0.9 Meters), Black",Accessories&Peripherals,4.3,20053.0,1313.0,4.145,False,4.3,0.0,reliable: keep original rating
B0B86CDHL1,"oraimo 65W Type C to C Fast Charging Cable USB C to USB C Cable High Speed Syncing, Nylon Braided 1M length with LED Indicator Compatible For Laptop, Macbook, Samsung Galaxy S22 S20 S10 S20Fe S21 S21 Ultra A70 A51 A71 A50S M31 M51 M31S M53 5G",Accessories&Peripherals,4.5,149.0,1313.0,4.145,True,4.1812,0.3188,suspicious: apply Bayesian formula
B0B5ZF3NRK,"CEDO 65W OnePlus Dash Warp Charge Cable, USB A to Type C Data Sync Fast Charging Cable Compatible with One Plus 3 /3T /5 /5T /6 /6T /7 /7T /7 pro & for All Type C Devices - 1 Meter, Red",Accessories&Peripherals,4.1,210.0,1313.0,4.145,True,4.1388,-0.0388,suspicious: apply Bayesian formula
B09RFC46VP,Redmi 108 cm (43 inches) 4K Ultra HD Android Smart LED TV X43 | L43R7-7AIN (Black),"HomeTheater,TV&Video",4.2,45238.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B08R69VDHT,"Pinnaclz Original Combo of 2 Micro USB Fast Charging Cable, USB Charging Cable for Data Transfer Perfect for Android Smart Phones White 1.2 Meter Made in India (Pack of 2)",Accessories&Peripherals,4.0,7732.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B09RWZRCP1,"boAt Type C A750 Stress Resistant, Tangle-free, Sturdy Flat Cable with 6.5A Fast Charging & 480Mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Rebellious Black)",Accessories&Peripherals,4.1,1780.0,1313.0,4.145,False,4.1,0.0,reliable: keep original rating
B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",Accessories&Peripherals,4.1,602.0,1313.0,4.145,True,4.1309,-0.0309,suspicious: apply Bayesian formula
B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",Accessories&Peripherals,4.0,1423.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B09ZPM4C2C,TCL 80 cm (32 inches) HD Ready Certified Android Smart LED TV 32S5205 (Black),"HomeTheater,TV&Video",4.1,398.0,404.8,4.0712,True,4.0855,0.0145,suspicious: apply Bayesian formula
B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",Accessories&Peripherals,3.9,536.0,1313.0,4.145,True,4.074,-0.174,suspicious: apply Bayesian formula
B0BCZCQTJX,Firestick Remote,"HomeTheater,TV&Video",4.0,32.0,404.8,4.0712,True,4.066,-0.066,suspicious: apply Bayesian formula
B07LGT55SJ,"Wayona Usb Nylon Braided Data Sync And Charging Cable For Iphone, Ipad Tablet (Red, Black)",Accessories&Peripherals,4.2,24269.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B09NKZXMWJ,"Flix (Beetel) Usb To Type C Pvc Data Sync And 2A 480Mbps Data Sync, Tough Fast Charging Long Cable For Usb Type C Devices, Charging Adapter (White, 1 Meter) - Xcd-C12",Accessories&Peripherals,4.0,9378.0,1313.0,4.145,False,4.0,0.0,reliable: keep original rating
B08QX1CC14,SKYWALL 81.28 cm (32 inches) HD Ready Smart LED TV 32SWELS-PRO (Black),"HomeTheater,TV&Video",3.4,902.0,404.8,4.0712,False,3.4,0.0,reliable: keep original rating
B0974H97TJ,"boAt A 350 Type C Cable for Smartphone, Charging Adapter (1.5m, Carbon Black)",Accessories&Peripherals,4.4,28791.0,1313.0,4.145,False,4.4,0.0,reliable: keep original rating
B07GVGTSLN,"Wayona Usb Type C Fast Charger Cable Fast Charging Usb C Cable/Cord Compatible For Samsung Galaxy S10E S10 S9 S8 Plus S10+,Note 10 Note 9 Note 8,S20,M31S,M40,Realme X3,Pixel 2 Xl (3 Ft Pack Of 1,Grey)",Accessories&Peripherals,4.2,10576.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B09VCHLSJF,OnePlus 108 cm (43 inches) Y Series 4K Ultra HD Smart Android LED TV 43Y1S Pro (Black),"HomeTheater,TV&Video",4.2,7298.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B0B1YZX72F,Acer 127 cm (50 inches) I Series 4K Ultra HD Android Smart LED TV AR50AR2851UDFL (Black),"HomeTheater,TV&Video",4.3,4703.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B092BJMT8Q,Samsung 108 cm (43 inches) Crystal 4K Series Ultra HD Smart LED TV UA43AUE60AKLXL (Black),"HomeTheater,TV&Video",4.3,7109.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B0BMXMLSMM,"Lapster 65W compatible for OnePlus Dash Warp Charge Cable , type c to c cable fast charging Data Sync Cable Compatible with One Plus 10R / 9RT/ 9 pro/ 9R/ 8T/ 9/ Nord & for All Type C Devices – Red, 1 Meter",Accessories&Peripherals,4.5,127.0,1313.0,4.145,True,4.1763,0.3237,suspicious: apply Bayesian formula
B07JH1C41D,"Wayona Nylon Braided (2 Pack) Lightning Fast Usb Data Cable Fast Charger Cord For Iphone, Ipad Tablet (3 Ft Pack Of 2, Grey)",Accessories&Peripherals,4.2,24269.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B0141EZMAI,"Gizga Essentials USB WiFi Adapter for PC, 150 Mbps Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows, Mac OS & Linux Kernel | WPA/WPA2 Encryption Standards| Black",NetworkingDevices,3.6,10134.0,10822.0,4.1633,True,3.8909,-0.2909,suspicious: apply Bayesian formula
B09Q5P2MT3,OnePlus 108 cm (43 inches) Y Series Full HD Smart Android LED TV 43 Y1S (Black),"HomeTheater,TV&Video",4.2,34899.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B08HDH26JX,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Mercurial Black)",Accessories&Peripherals,4.2,94363.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
B09VT6JKRP,Lapster USB 3.0 A to Micro B SuperSpeed for hard disk cable - short cable,Accessories&Peripherals,4.1,425.0,1313.0,4.145,True,4.134,-0.034,suspicious: apply Bayesian formula
B09T3KB6JZ,TCL 100 cm (40 inches) Full HD Certified Android R Smart LED TV 40S6505 (Black),"HomeTheater,TV&Video",4.2,6659.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B093QCY6YJ,"ZEBRONICS ZEB-USB150WF1 WiFi USB Mini Adapter Supports 150 Mbps Wireless Data, Comes with Advanced Security WPA/WPA2 encryption Standards",NetworkingDevices,3.7,1977.0,10822.0,4.1633,True,4.0917,-0.3917,suspicious: apply Bayesian formula
B093ZNQZ2Y,"LOHAYA Remote Compatible for Mi Smart LED TV 4A Remote Control (32""/43"") [ Compatible for Mi Tv Remote Control ] [ Compatible for Mi Smart LED Tv Remote Control ]","HomeTheater,TV&Video",3.8,1079.0,404.8,4.0712,False,3.8,0.0,reliable: keep original rating
B08LKS3LSP,"Gilary Multi Charging Cable, 3 in 1 Nylon Braided Fast Charging Cable for iPhone Micro USB Type C Mobile Phone | Colour May Vary |",Accessories&Peripherals,3.7,1097.0,1313.0,4.145,True,3.9424,-0.2424,suspicious: apply Bayesian formula
B00V4BGDKU,TP-Link UE300 USB 3.0 to RJ45 Gigabit Ethernet Network Adapter - Plug and Play,NetworkingDevices,4.5,22420.0,10822.0,4.1633,False,4.5,0.0,reliable: keep original rating
B08CHKQ8D4,"Wayona Type C to Lightning MFI Certified 20W Fast charging Nylon Braided USB C Cable for iPhone 14, 14 Pro, 14 Pro Max, 14 Plus, 13, 13 Pro, 13 Pro Max, 13 Mini, 12, 12 Pro, 11, 11 Pro Max iPhone 12 Mini, X, 8 (2M, Grey)",Accessories&Peripherals,4.1,1045.0,1313.0,4.145,True,4.1251,-0.0251,suspicious: apply Bayesian formula
B09BW334ML,Dealfreez Case Compatible with Fire TV Stick 3rd Gen 2021 Full Wrap Silicone Remote Cover Anti-Lost with Loop (D-Black),"HomeTheater,TV&Video",4.3,4145.0,404.8,4.0712,False,4.3,0.0,reliable: keep original rating
B082T6GVLJ,"Amazon Basics New Release Nylon USB-A to Lightning Cable Cord, Fast Charging MFi Certified Charger for Apple iPhone, iPad (3-Ft, Rose Gold)",Accessories&Peripherals,4.3,6547.0,1313.0,4.145,False,4.3,0.0,reliable: keep original rating
B07DL1KC3H,Isoelite Remote Compatible for Samsung LED/LCD Remote Control Works with All Samsung LED/LCD TV Model No :- BN59-607A (Please Match The Image with Your Old Remote),"HomeTheater,TV&Video",4.0,1588.0,404.8,4.0712,False,4.0,0.0,reliable: keep original rating
B0B6F98KJJ,MI 100 cm (40 inches) 5A Series Full HD Smart Android LED TV with 24W Dolby Audio & Metal Bezel-Less Frame (Black) (2022 Model),"HomeTheater,TV&Video",4.2,32840.0,404.8,4.0712,False,4.2,0.0,reliable: keep original rating
B07JNVF678,"Wayona Nylon Braided USB Data Sync and Fast Charging 3A Short Power Bank Cable For iPhones, iPad Air, iPad mini, iPod Nano and iPod Touch (Grey)",Accessories&Peripherals,4.2,13120.0,1313.0,4.145,False,4.2,0.0,reliable: keep original rating
